window,row,datetime,action,equity,long,short,entries
W1,56683,2026-06-24 21:00:00,1,9684.62319888808,True,False,8
W1,56684,2026-06-24 22:00:00,1,9647.22040774726,True,False,8
W1,56685,2026-06-24 23:00:00,1,9679.550028637017,True,False,8
W1,56686,2026-06-25 00:00:00,1,9640.566166499097,True,False,8
W1,56687,2026-06-25 01:00:00,1,9655.780105741336,True,False,8
W1,56688,2026-06-25 02:00:00,1,9635.348756020026,True,False,8
W1,56689,2026-06-25 03:00:00,1,9648.75133514578,True,False,8
W1,56690,2026-06-25 04:00:00,1,9723.867064870474,True,False,8
W1,56691,2026-06-25 05:00:00,1,9762.27953760733,True,False,8
W1,56692,2026-06-25 06:00:00,1,9783.20613274668,True,False,8
W1,56693,2026-06-25 07:00:00,1,9811.570695008242,True,False,8
W1,56694,2026-06-25 08:00:00,1,9780.082991329155,True,False,8
W1,56695,2026-06-25 09:00:00,1,9784.352006832674,True,False,8
W1,56696,2026-06-25 10:00:00,1,9709.970478440226,True,False,8
W1,56697,2026-06-25 11:00:00,1,9711.883363867411,True,False,8
W1,56698,2026-06-25 12:00:00,1,9705.861179584026,True,False,8
W1,56699,2026-06-25 13:00:00,1,9237.74097214529,True,False,8
W1,56700,2026-06-25 14:00:00,1,9424.956121300484,True,False,8
W1,56701,2026-06-25 15:00:00,1,9438.662657301558,True,False,8
W1,56702,2026-06-25 16:00:00,1,9399.780320474336,True,False,8
W1,56703,2026-06-25 17:00:00,1,9443.185517052925,False,False,8
W1,56704,2026-06-25 18:00:00,1,9403.22754427384,True,False,9
W1,56705,2026-06-25 19:00:00,1,9372.77850629461,True,False,9
W1,56706,2026-06-25 20:00:00,1,9394.365142353383,True,False,9
W1,56707,2026-06-25 21:00:00,1,9513.697424330441,True,False,9
W1,56708,2026-06-25 22:00:00,1,9456.721049173053,True,False,9
W1,56709,2026-06-25 23:00:00,1,9447.672252282196,True,False,9
W1,56710,2026-06-26 00:00:00,1,9427.619980118836,True,False,9
W1,56711,2026-06-26 01:00:00,1,9390.39591700688,True,False,9
W1,56712,2026-06-26 02:00:00,1,9253.009862582212,True,False,9
W1,56713,2026-06-26 03:00:00,1,9485.910995299248,True,False,9
W1,56714,2026-06-26 04:00:00,1,9467.654780632129,True,False,9
W1,56715,2026-06-26 05:00:00,1,9472.84236250701,True,False,9
W1,56716,2026-06-26 06:00:00,1,9531.414204546798,True,False,9
W1,56717,2026-06-26 07:00:00,1,9564.278970718566,True,False,9
W1,56718,2026-06-26 08:00:00,1,9519.038072273732,True,False,9
W1,56719,2026-06-26 09:00:00,1,9438.509890243813,True,False,9
W1,56720,2026-06-26 10:00:00,1,9371.713833036529,True,False,9
W1,56721,2026-06-26 11:00:00,1,9387.510498177007,True,False,9
W1,56722,2026-06-26 12:00:00,1,9351.451095029108,True,False,9
W1,56723,2026-06-26 13:00:00,1,9507.93954791036,True,False,9
W1,56724,2026-06-26 14:00:00,1,9415.554917597696,True,False,9
W1,56725,2026-06-26 15:00:00,1,9532.096829835747,True,False,9
W1,56726,2026-06-26 16:00:00,1,9486.81766487381,True,False,9
W1,56727,2026-06-26 17:00:00,1,9484.008161876254,True,False,9
W1,56728,2026-06-26 18:00:00,1,9427.76563976458,True,False,9
W1,56729,2026-06-26 19:00:00,1,9441.031159959326,True,False,9
W1,56730,2026-06-26 20:00:00,1,9435.66397233482,True,False,9
W1,56731,2026-06-26 21:00:00,1,9467.375188176527,True,False,9
